Generation Best Mean Std
43 48.95091071091452 23.694429256688807 13.576768887623658
44 48.95091071091452 24.405989701416367 13.16057820801662
45 48.95091071091452 23.578676222671763 12.621904874592497
46 48.95091071091452 23.24487207496855 12.923014640492324
47 48.95091071091452 22.421249512778353 13.135746387332356
48 48.95091071091452 23.052047029847767 12.878502128412515
49 48.95091071091452 23.53531405129301 12.713200419636806
50 48.95091071091452 24.95542809719541 12.692622215980613
51 48.95091071091452 24.61346926705783 12.568037737611979
52 48.95091071091452 23.713373960501784 12.464334137567391
53 48.95091071091452 23.02291933830269 13.40135358925884
54 48.95091071091452 22.44813604101049 13.154691646613818
55 48.95091071091452 22.925421573156864 12.786720044345046
56 48.95091071091452 23.379616995184122 12.573121190652017
57 48.95091071091452 23.397009756848785 12.550638696949502
58 48.95091071091452 23.74647892982663 12.847962618528507
59 48.95091071091452 23.183321309275495 13.580285222927763
60 48.95091071091452 24.326181303161903 13.360599435664342
61 48.95091071091452 24.393958685424977 12.623382450307023
62 48.95091071091452 23.370289426192667 13.086738989620713
63 48.95091071091452 22.86607648954312 13.868247796924296
64 48.95091071091452 22.34488537981892 14.36973578579967
65 48.95091071091452 23.196866208584105 13.972740792208295
66 48.95091071091452 24.294646131116625 14.775690320574617
67 48.95091071091452 24.21235940609356 14.468300835899333
68 48.95091071091452 23.79493222573444 15.10527817404444
69 48.95091071091452 23.22183016807599 15.556187176780314
70 48.95091071091452 23.79361719680262 15.128926787995256
71 48.95091071091452 25.232170679518205 14.047805010323664
72 48.95091071091452 24.91204750783123 14.15361881429608
73 48.95091071091452 25.438593058495538 14.45614975918222
74 48.95091071091452 24.868836109307182 13.664535227289292
75 55.063815101748744 25.61334509796057 14.596328296150837
76 55.063815101748744 25.416464417032635 14.484546310776027
77 55.063815101748744 25.094136954759133 13.972390569597101
78 55.063815101748744 25.088594186117376 13.970877434487338
79 55.063815101748744 25.856416627166563 13.803555172418
80 55.063815101748744 25.855847836909977 13.796407651091465
81 55.063815101748744 26.759482274881705 13.53167302683345
82 55.063815101748744 27.391575064508523 12.827728758398651
83 55.063815101748744 27.510538453634673 13.787442840945383
84 55.063815101748744 27.123876963415782 14.73317769993252
85 55.063815101748744 27.518849230477134 14.294019907579889
86 55.063815101748744 26.79875520154366 14.315243868480502
87 55.063815101748744 26.89035346841518 14.623930013305603
88 55.063815101748744 25.877742967539536 13.798514634903785
89 55.063815101748744 25.197765485891544 14.25142955940587
90 55.063815101748744 24.608916623666317 15.188087574649986
91 55.063815101748744 24.580664118963664 15.297955058282419
